DNAJC25-GNG10
hCG_2014768
TRBV21OR9-2
TRBV20OR9-2
IGKV3-7
IGKV1D-42
IGLV4-69
IGLV8-61
IGLV4-60
IGLV11-55
IGLV10-54
IGLV1-50
IGLV5-48
IGLV7-46
IGLV5-37
IGLV2-33
IGLV3-22
IGLV2-18
IGLV3-16
IGLV3-12
IGLV3-10
IGLV3-9
IGLV4-3
TRGV11
TRBV7-3
TRBV23OR9-2
TRBV19
TRBV20-1
TRBV24-1
TRBV25-1
IGKV2-28
IGHV3-64
TRGV2
IGHV4-4
IGKV2D-24
IGKV2D-29
IGKV1D-17
IGKV1-27
IGKV2D-30
IGKV1-37
TRAV12-2
TRAV6
TRAV9-1
TRAV7
TRAV8-7
TRAV36DV7
TRAV23DV6
TRAV18
LOC100509620
PPIAL4E
LOC105371242
IGHV4OR15-8
IGHV3OR16-12
IGHV1OR15-1
IGKV1OR2-108
IGHV3OR15-7
IGHV3OR16-13
IGHV3OR16-10
IGHV3OR16-8
IGLV5-45
hCG_1818297
IGHV4-30-2
IGKV3D-15
IGKV1D-8
TRAV30
TRAV27
TRAV9-2
TRAV26-1
TMEM265
KCNE1B
GIMAP1-GIMAP5
NBPF19
SYNJ2BP-COX16
TRBV16
CYP3A7-CYP3A51P
TBC1D3D
IGKV2-40
LOC110117498
ELOA3C
MEIKIN
TBC1D3I
IGHV1OR21-1
TRBV15
FXYD6-FXYD2
TRBV17
TRBV18
SENP3-EIF4A1
TBC1D3E
TMSB15B
CYP2D7
TBC1D3K
LOC102723996
DEFB131B
SMIM26
CCDC187
UQCRHL
SAA2-SAA4
LOC102724200
GVQW2
IGKV2D-26
IGKV3D-11
IGLV5-52
IGLV3-32
TRGV10
TRGV1
TRBV5-3
TRBV6-7
TRBV5-7
TRBV23-1
IGHV1-45
IGHV3-49
RBM14-RBM4
MROH7-TTC4
IGKV6D-21
IGLJ1
IGLJ2
IGLJ3
TNFSF12-TNFSF13
TMED7-TICAM2
TRAV14DV4
ZFP91-CNTF
TRBV13
GPR75-ASB3
TRBV6-6
TRBV6-8
ARPC4-TTLL3
C15orf38-AP3S2
NPIPB2
ZNF559-ZNF177
MSANTD3-TMEFF1
TRAV8-3
TRAV8-1
TRBV7-1
TRAV16
TRAV19
TGIF2-C20orf24
ST20-MTHFS
POTEB
RPL17-C18orf32
BORCS7-ASMT
IGLV1-36
TRGV5
TRBV9
IGHV6-1
IGHV3-15
IGHV3-21
IGHV2-26
IGHV3-73
IGHV7-81
PPAN-P2RY11
NPIPA5
IGHV3-74
IGHV3-43
IGLV9-49
IGHV3-72
IGKV1D-43
TRAV2
TRAV13-2
TRAV8-2
TRAV1-2
TRAV10
TRAV13-1
TRAV3
TRAV12-1
TRAV1-1
TRAV5
TRAV8-6
TRAV39
